,junsi_name,start,end,place
101,루씨쏜 : The story of JeJu,2021.05.19.,2021.06.20.,갤러리 아트숲
102,BLEND,2021.05.21.,2021.07.14.,굿굿웨더
103,"봄날, 부처님 나투시다",2021.05.18.,2021.08.29.,부산박물관부산관
104,"업사이클 다시, 봄",2021.04.17.,2021.06.30.,광명업사이클아트센터
105,Jeremy Thomas : aromatic,2021.05.13.,2021.07.31.,워킹하우스뉴욕
106,제이미 리 : Wish You All the Best,2021.05.16.,2021.08.15.,아트센터 화이트블럭
107,어린이 미술전 퐁당퐁당,2021.04.27.,2021.06.20.,로얄앤컴퍼니 로얄엑스
108,"호해란 박찬용 2인전 ""Sweet and Bitter""",2021.05.18.,2021.06.27.,헤이리갤러리 움
109,장욱진과 아이들,2021.05.18.,2021.07.25.,양주시립장욱진미술관
110,최병훈 : 침묵의 자리,2021.05.13.,2021.07.04.,조현화랑
111,수원 산루리의 독립영웅들,2021.04.30.,2021.07.04.,수원박물관 1층 기획전시실
112,김현주 : IT'S YOUR PARADISE,2021.05.04.,2021.07.02.,병원안갤러리
113,윤지아 : 나름대로 최선을 다한 번역,2021.04.30.,2021.06.03.,아트스페이스 휴
114,권순익 개인전,2021.04.28.,2021.06.05.,아트소향
115,"파주임풍, 간판의 비밀",2021.04.27.,2021.07.04.,인천시립박물관
116,미완성의 공간,2021.04.27.,2021.06.08.,아이테르
117,부산의 성곽,2021.05.04.,2021.07.25.,복천박물관
118,"배산성, 감춰진 역사의 비밀을 열다",2021.04.30.,2021.06.30.,부산박물관
119,"플레이모빌, 미술관에 가다",2021.04.23.,2021.06.27.,롯데갤러리 인천터미널점
120,갤러리탐 43기 : 강지연 개인전,2021.04.05.,2021.07.05.,탐앤탐스 블랙더스토리지
121,강다현 : GROTESQUE,2021.04.21.,2021.06.10.,갤러리 서린 스페이스
122,2021 특별기획전시 <음악의 기술 : Tune made with Art and Technology>,2021.05.04.,2021.06.13.,부평아트센터
123,Piece of Spring,2021.04.22.,2021.07.10.,오브제후드
124,박근원 : 찰나의 인천,2021.04.13.,2021.06.20.,인천광역시립박물관
125,봄방학숙제,2021.04.10.,2021.07.04.,카페데니스
126,Be정상,2021.03.16.,2021.06.06.,아트스페이스 광교
127,경기도자미술관 어린이전시 공예놀이터,2021.03.23.,2021.07.04.,경기도자미술관
128,만疊산중서용선繪畫,2021.02.24.,2021.06.20.,여주미술관
129,정중동의 미학 : 한국 현대 춤 그림,2021.04.15.,2021.07.04.,이천시립월전미술관
130,도서관 속 작업실,2021.03.24.,2021.06.23.,의정부미술도서관
131,전술들,2021.02.25.,2021.06.03.,백남준아트센터
132,김덕기 : 봄을 그리다,2021.03.12.,2021.06.16.,소울아트스페이스
133,"2021년 제1회 신수유물 소개전 「나전螺鈿, 미술이 되다」",2021.02.16.,2021.06.13.,부산박물관부산관
134,모네 향기를 만나다展,2021.02.27.,2021.08.29.,헤이리스
135,비너스의 진화,2021.02.03.,2021.07.31.,레디움아트센터
136,아이뮤지엄 디지털명화 [색채의 마술사 : 앙리 마티스],2021.01.01.,2021.08.31.,아이뮤지엄
137,김애옥 : 폭풍의 언덕,2020.10.26.,2021.06.26.,갤러리하리 & 멘탈ART
138,파랑새,2020.09.12.,2021.08.29.,서면미술관
139,홍승태 : Delivery Love,2021.06.01.,2021.07.03.,갤러리여울
140,"육필, 손끝에서 손끝으로",2021.05.04.,2021.08.29.,대구문학관
141,Young&Young Artist Project : 기억을 잇다,2021.03.20.,2021.07.04.,영은미술관
142,강재원 : PATTERN 2,2021.05.18.,2021.07.07.,021갤러리 상동관
